Date,Price,Open,High,Low,Vol.,Change %
2022-03-02,44151.1,44442,44777,43876,6.13K,-0.0065
2022-03-01,44442,43202,44939,42878,6.34K,0.0287
2022-02-28,43202,37734,44198,37502,8.45K,0.1449
2022-02-27,37734,39137.1,39888,37067.1,5.48K,-0.0356
2022-02-26,39125,39243,40274,38633,3.59K,-0.003
2022-02-25,39243,38380,39717,38071.1,6.43K,0.0225
2022-02-24,38380,37292,39716,34435,17.88K,0.0292
2022-02-23,37292,38299,39270,37142,5.81K,-0.0263
2022-02-22,38299,37060.9,38475,36404,6.20K,0.0336
2022-02-21,37054,38420,39531,36829,8.51K,-0.0356
2022-02-20,38420,40128,40164.1,38071,3.53K,-0.0429
2022-02-19,40141,40037,40478,39683,1.46K,0.0026
2022-02-18,40037,40559,40983,39571,4.68K,-0.0128
2022-02-17,40556,43885,44187.6,40126.8,6.75K,-0.0759
2022-02-16,43885,44559.9,44584,43382,3.27K,-0.0151
2022-02-15,44559.9,42559.9,44762,42467,4.11K,0.047
2022-02-14,42559.9,42091,42852,41608,4.78K,0.0111
2022-02-13,42091,42239.1,42760,41920,1.95K,-0.0035
2022-02-12,42239.1,42418,43028,41810,2.66K,-0.0042
2022-02-11,42418,43545,43965,42053,5.61K,-0.0259
2022-02-10,43545,44432,45851,43255,7.33K,-0.02
2022-02-09,44432,44060.5,44839.6,43160,3.71K,0.0084
2022-02-08,44060.5,43865,45400,42713,7.62K,0.0045
2022-02-07,43865,42416,44500,41715,5.52K,0.034
2022-02-06,42423,41454,42730,41171,2.36K,0.0234
2022-02-05,41454,41562.7,41928,40979.8,2.60K,-0.0026
2022-02-04,41562.7,37331,41734,37070,8.27K,0.1134
2022-02-03,37331,36925,37395,36282,5.03K,0.011
2022-02-02,36925,38733,38877,36660,4.19K,-0.0467
2022-02-01,38733,38495,39350,38039,4.29K,0.0054
2022-01-31,38526,37914.4,38772.1,36683,4.77K,0.0155
2022-01-30,37939,38179.9,38349,37398,2.05K,-0.0068
2022-01-29,38197,37759.8,38696,37347.7,3.55K,0.0116
2022-01-28,37759.8,37217,38041,36197,4.58K,0.0146
2022-01-27,37217,36830.8,37248,35571,6.94K,0.0105
2022-01-26,36830.8,36986,38901,36301,10.65K,-0.0044
2022-01-25,36994,36702,37545,35759,8.86K,0.008
2022-01-24,36702,36308,37460,32981,23.10K,0.0109
2022-01-23,36308,35103,36550,34687.3,8.72K,0.0343
2022-01-22,35103,36467,36816,34079,17.58K,-0.0383
2022-01-21,36501,40740,41132,35524,16.22K,-0.1041
2022-01-20,40740,41676,43540.6,40572,5.11K,-0.0225
2022-01-19,41676,42390,42581.2,41180,6.45K,-0.0168
2022-01-18,42390,42223,42682,41304,4.34K,0.0035
2022-01-17,42242,43084,43191,41568,2.92K,-0.0195
2022-01-16,43084,43069,43487,42611.8,1.58K,0.0003
2022-01-15,43069,43091,43806,42600,3.20K,-0.0005
2022-01-14,43091,42562,43463,41839,4.31K,0.0124
2022-01-13,42562,43909,44426.7,42334,3.74K,-0.0307
2022-01-12,43909,42743,44305,42475,3.77K,0.0273
2022-01-11,42743,41839,43113,41287,4.79K,0.0216
2022-01-10,41839,41850,42270,39677,9.55K,-0.0003
2022-01-09,41850,41679,42790,41275,3.72K,0.0041
2022-01-08,41679,41518,42319,40570,4.15K,0.0039
2022-01-07,41518,43111,43132,40755,7.40K,-0.037
2022-01-06,43111,43418,43777,42487,3.41K,-0.0071
2022-01-05,43418,45830,47056.7,42519,6.93K,-0.0526
2022-01-04,45830,46445,47546,45583,3.79K,-0.0132
2022-01-03,46445,47314,47578,45701,2.58K,-0.0184
2022-01-02,47314,47755,47980,46698,1.84K,-0.0092
2022-01-01,47755,46218,47954,46215,2.18K,0.0333
2021-12-31,46218,47156,48589,45697,4.25K,-0.0199
2021-12-30,47156,46465,47911,45996,3.20K,0.0149
2021-12-29,46465,47554,48166,46129,4.12K,-0.0229
2021-12-28,47554,50684,50710,47339,5.43K,-0.0618
2021-12-27,50684,50797,52027,50483,3.52K,-0.0022
2021-12-26,50797,50435.2,51281,49473,2.90K,0.0071
2021-12-25,50437,50815,51169,50209,1.99K,-0.0074
2021-12-24,50815,50833,51834,50439,2.60K,0.0001
2021-12-23,50812,48626,51376,48078,4.43K,0.045
2021-12-22,48626,48923,49575.1,48459.8,3.14K,-0.0061
2021-12-21,48923,46898,49352,46683,4.71K,0.0432
2021-12-20,46898,46716.5,47541,45606,5.65K,0.0039
2021-12-19,46716.5,46879,48283,46474.9,5.24K,-0.0035
2021-12-18,46879,46193,47364,45543.5,3.74K,0.0149
2021-12-17,46193,47675,48028.8,45539,5.86K,-0.0311
2021-12-16,47675,48901,49462.1,47561,3.53K,-0.0251
2021-12-15,48901,48408,49520,46602,7.04K,0.0102
2021-12-14,48408,46777,48656,46356.2,5.48K,0.0349
2021-12-13,46777,50123,50222.7,45790,8.71K,-0.0668
2021-12-12,50123,49363.1,50800,48692,3.87K,0.0154
2021-12-11,49363.1,47170,49510,46897,5.29K,0.0465
2021-12-10,47170,47611,50105,47060,8.17K,-0.0093
2021-12-09,47611,50503.4,50824,47408,5.28K,-0.0573
2021-12-08,50503.4,50634,51239,48760,4.03K,-0.0026
2021-12-07,50634,50566.6,51969,50102,3.91K,0.0013
2021-12-06,50566.6,49469,50974,47295,8.05K,0.0222
2021-12-05,49469,49272,49752,47860,4.78K,0.004
2021-12-04,49272,53709,53879,42101,22.58K,-0.0826
2021-12-03,53709,56517,57599,52062,10.73K,-0.0497
2021-12-02,56517,57250,57389,55842,4.41K,-0.0128
2021-12-01,57250,56938,59055,56505,5.18K,0.0055
2021-11-30,56938,57845,59174,55940,6.47K,-0.0157
2021-11-29,57845,57325,58886,56772,5.07K,0.0091
2021-11-28,57325,54836,57469,53482,4.94K,0.0454
2021-11-27,54836,53738,55329,53711,3.09K,0.0204
2021-11-26,53738,58995,59229,53565,12.19K,-0.0891
2021-11-25,58995,57209,59423.4,57070,3.98K,0.0312
2021-11-24,57209,57602,57762,55916.9,4.89K,-0.0068
2021-11-23,57602,56299,57866.2,55460,8.56K,0.0231
2021-11-22,56299,58790,59407,55714,8.83K,-0.0424
2021-11-21,58790,59739,60047,58624,2.44K,-0.0159
2021-11-20,59739,58130,59886,57494.4,3.13K,0.0277
2021-11-19,58130,56932,58379,55670,5.18K,0.0196
2021-11-18,57014,60386.1,60945,56559,11.54K,-0.0558
2021-11-17,60386.1,60124,60847,58427,6.72K,0.0044
2021-11-16,60124,63562,63562,58708,13.07K,-0.0541
2021-11-15,63562,65471,66320,63383.3,5.27K,-0.0292
2021-11-14,65471,64406,65471,63589,2.19K,0.0165
2021-11-13,64406,64137,64968.2,63405,1.87K,0.0039
2021-11-12,64156,64801,65412,62310,5.12K,-0.01
2021-11-11,64801,64954,65541,64089,2.86K,-0.0024
2021-11-10,64954,66935,68925,63123,12.23K,-0.0296
2021-11-09,66935,67526,68429,66343,6.46K,-0.0088
2021-11-08,67526,63259.1,67665,63259.1,8.98K,0.0675
2021-11-07,63259.1,61495,63279,61400,3.23K,0.0287
2021-11-06,61496,61016.4,61583,60100,2.93K,0.0079
