Date,Price,Open,High,Low,Vol.,Change %
1-Mar-22,2949.28,2922.44,3036.59,2858.54,917.00K,0.0092
28-Feb-22,2922.5,2616.34,2949.44,2574.12,899.19K,0.117
27-Feb-22,2616.34,2779.55,2834.61,2562.94,804.74K,-0.0578
26-Feb-22,2776.96,2767.58,2856.01,2734.56,520.44K,0.0034
25-Feb-22,2767.53,2596.52,2830.31,2573.39,828.87K,0.0659
24-Feb-22,2596.52,2578.54,2732.02,2303.07,1.85M,0.0071
23-Feb-22,2578.15,2637.38,2749.8,2578.15,636.50K,-0.022
22-Feb-22,2636.13,2569.19,2663.01,2501.4,841.13K,0.0258
21-Feb-22,2569.87,2619.32,2755.58,2560.24,996.71K,-0.0189
20-Feb-22,2619.32,2763.97,2764.46,2577.52,508.49K,-0.0523
19-Feb-22,2763.81,2779.44,2829.2,2699.7,377.08K,-0.0057
18-Feb-22,2779.56,2893.78,2943.14,2754.15,623.19K,-0.0396
17-Feb-22,2894.03,3122.33,3159.83,2855.66,661.98K,-0.0721
16-Feb-22,3118.9,3182.32,3184.88,3045.92,416.70K,-0.0199
15-Feb-22,3182.27,2929.29,3193.18,2912.61,540.04K,0.0864
14-Feb-22,2929.31,2871.06,2963.7,2834.13,477.24K,0.0206
13-Feb-22,2870.25,2917.16,2952.94,2838.29,303.12K,-0.0161
12-Feb-22,2917.1,2927.64,2984.72,2858.85,433.29K,-0.0036
11-Feb-22,2927.63,3071.8,3136.33,2880.6,607.93K,-0.0469
10-Feb-22,3071.83,3243.73,3277.36,3058.59,742.54K,-0.053
9-Feb-22,3243.62,3115.91,3266.41,3055.95,477.82K,0.041
8-Feb-22,3115.88,3139.65,3228.86,3029.7,664.45K,-0.0077
7-Feb-22,3140.18,3056.29,3185.77,2995.59,568.42K,0.0275
6-Feb-22,3056.2,3013.75,3073.23,2957.16,316.58K,0.0141
5-Feb-22,3013.81,2994.74,3058.88,2963.11,473.62K,0.0063
4-Feb-22,2994.99,2692.8,2994.99,2671.72,908.75K,0.1122
3-Feb-22,2692.8,2680.66,2723.97,2579.8,549.27K,0.0044
2-Feb-22,2681,2787.16,2809.57,2618.07,602.40K,-0.0381
1-Feb-22,2787.16,2686.82,2808.6,2676.32,521.74K,0.0373
31-Jan-22,2686.82,2602.71,2704.64,2478.85,601.73K,0.0323
30-Jan-22,2602.77,2600.12,2636.04,2543.99,381.84K,0.0011
29-Jan-22,2600.02,2545.95,2632.51,2520.14,484.18K,0.0212
28-Jan-22,2545.95,2424.66,2556.34,2362.53,634.50K,0.05
27-Jan-22,2424.66,2462.25,2515.19,2317.3,774.54K,-0.0149
26-Jan-22,2461.41,2458.07,2719.32,2405.66,1.05M,0.0014
25-Jan-22,2458.07,2441.01,2504.32,2352.36,656.03K,0.007
24-Jan-22,2441.01,2540.81,2540.81,2161.55,1.56M,-0.0393
23-Jan-22,2540.81,2412.52,2547.19,2373.85,766.83K,0.0532
22-Jan-22,2412.52,2570.67,2621.21,2311.8,1.48M,-0.0617
21-Jan-22,2571.29,3000.21,3032.69,2471.8,1.42M,-0.1443
20-Jan-22,3004.72,3084.48,3270.71,2989.19,481.08K,-0.0256
19-Jan-22,3083.65,3160.15,3173.63,3049.3,459.81K,-0.0242
18-Jan-22,3160.15,3209.43,3242.47,3084.48,399.19K,-0.0153
17-Jan-22,3209.35,3346.63,3356.45,3142.4,375.28K,-0.041
16-Jan-22,3346.59,3326.5,3388.22,3276.44,295.68K,0.0057
